class	domain	total_n_genomes
Nitrososphaeria	Archaea	4215
Thermoplasmata	Archaea	3685
Halobacteria	Archaea	3470
Bathyarchaeia	Archaea	2800
Nanobdellia	Archaea	2530
Poseidoniia	Archaea	2348
Thermoprotei_A	Archaea	1555
Micrarchaeia	Archaea	1293
Methanosarcinia	Archaea	987
Aenigmatarchaeia	Archaea	963
Methanomicrobia	Archaea	706
Methanobacteria	Archaea	676
E2	Archaea	666
Thermoprotei	Archaea	580
Iainarchaeia	Archaea	540
Thermococci	Archaea	423
Heimdallarchaeia	Archaea	316
Nitrososphaeria_A	Archaea	308
Archaeoglobi	Archaea	297
Syntropharchaeia	Archaea	201
Thorarchaeia	Archaea	170
Altiarchaeia	Archaea	159
Hadarchaeia	Archaea	136
Lokiarchaeia	Archaea	132
Methanomethylicia	Archaea	116
Korarchaeia	Archaea	102
Hydrothermarchaeia	Archaea	72
EX4484-6	Archaea	52
Methanococci	Archaea	41
DTKX01	Archaea	38
SW-10-69-26	Archaea	32
B1Sed10-29	Archaea	31
Bog-38	Archaea	30
EX4484-205	Archaea	27
EX4484-52	Archaea	27
Jordiarchaeia	Archaea	24
UBA148	Archaea	20
JASEFT01	Archaea	14
Njordarchaeia	Archaea	14
DAOVMN01	Archaea	12
Methanocellia	Archaea	12
Methanonatronarchaeia	Archaea	12
SPECIV4_29685	Bacteria	12
Hermodarchaeia	Archaea	10
SPIREOTU_01112900	Bacteria	10
BCRBG_32896	Bacteria	8
SPIREOTU_00094589	Archaea	8
SPIREOTU_01112964	Bacteria	8
Undinarchaeia	Archaea	8
Baldrarchaeia	Archaea	7
Asgardarchaeia	Archaea	6
Methanopyri	Archaea	6
SPIREOTU_00867198	Bacteria	6
SPIREOTU_01106000	Bacteria	6
SPIREOTU_02035840	Bacteria	5
Atabeyarchaeia	Archaea	4
B47-G6	Archaea	4
BCRBG_09123	Bacteria	4
BCRBG_12737	Bacteria	4
BCRBG_43749	Archaea	4
JAOZGF01	Archaea	4
JAWCLZ01	Archaea	4
MOTU40_062405	Bacteria	4
Methanoliparia	Archaea	4
SPIREOTU_00057398	Bacteria	4
SPIREOTU_00098093	Bacteria	4
SPIREOTU_00098978	Bacteria	4
BCRBG_11297	Bacteria	3
BCRBG_26299	Bacteria	3
BCRBG_35300	Bacteria	3
BCRBG_52268	Bacteria	3
SPECIV4_06449	Bacteria	3
SPIREOTU_01111303	Bacteria	3
SPIREOTU_01841588	Bacteria	3
SPIREOTU_02087814	Bacteria	3
Sifarchaeia	Archaea	3
UBA186	Archaea	3
BCRBG_28491	Archaea	2
BCRBG_43526	Bacteria	2
BCRBG_44534	Bacteria	2
BCRBG_47423	Bacteria	2
BCRBG_52289	Bacteria	2
BCRBG_53577	Bacteria	2
MOTU40_065870	Bacteria	2
MOTU40_109050	Bacteria	2
SPIREOTU_01107953	Bacteria	2
SPIREOTU_01108583	Bacteria	2
SPIREOTU_01799784	Bacteria	2
Wukongarchaeia	Archaea	2
BCRBG_01886	Bacteria	1
BCRBG_10197	Bacteria	1
BCRBG_15457	Bacteria	1
BCRBG_21639	Bacteria	1
BCRBG_35354	Bacteria	1
BCRBG_40977	Bacteria	1
BCRBG_51943	Bacteria	1
BCRBG_52140	Bacteria	1
BCRBG_60947	Bacteria	1
BCRBG_61327	Bacteria	1
BCRBG_65140	Bacteria	1
BCRBG_72066	Bacteria	1
BCRBG_75306	Bacteria	1
GOMCOTU_12316	Bacteria	1
JACRDV01	Archaea	1
MOTU40_019828	Bacteria	1
MOTU40_040469	Bacteria	1
MOTU40_062368	Bacteria	1
MOTU40_113486	Bacteria	1
SPECIV4_29630	Bacteria	1
SPIREOTU_00055193	Bacteria	1
SPIREOTU_00497025	Bacteria	1
SPIREOTU_00670795	Bacteria	1
SPIREOTU_00872571	Bacteria	1
SPIREOTU_01283629	Bacteria	1
SPIREOTU_01326373	Bacteria	1
SPIREOTU_01584665	Bacteria	1
SPIREOTU_01842094	Bacteria	1
